bloque;termino;n_muestras;ocurrencias
6;philanthrop\w+;6;762
6;natural disaster;6;757
6;recycle;6;753
6;absenteeism;6;734
6;hydroelectric;6;713
6;oecd guidelines;6;708
6;equal pay;6;704
6;energy storage;6;697
6;ecovadis;6;678
6;indigenous;6;672
6;social protection;6;655
6;responsible investment;6;630
6;ergonomic\w*;6;627
6;responsible sourcing;6;625
6;land use;6;621
6;product quality;6;621
6;un global compact;6;618
6;social issue;6;617
6;ergonomic;6;611
6;iso\s*45001\b;6;601
6;energy mix;6;586
6;anti-money laundering;6;582
6;natural capital;6;581
6;global reporting initiative;6;578
6;lobbying;6;574
6;tax policy;6;572
6;maternity;6;567
6;modern slavery;6;533
6;equal opportunity;6;532
6;nox;6;524
6;decarbonize;6;518
6;drought;6;511
6;wind power;6;510
6;upskilling;6;504
6;clean energy;6;499
6;refrigerant;6;498
6;social audit;6;492
6;iso 45001;6;484
6;data security;6;476
6;sf6;6;473
7;consumer protection;6;473
7;supply chain management;6;470
7;philanthropy;6;464
7;zdhc;6;457
7;air quality;6;453
7;apprentice;6;453
7;leed;6;452
7;effluent;6;448
7;flooding;6;446
7;food safety;6;446
7;insider trading;6;435
7;compliance programme;6;432
7;social performance;6;426
7;road safety;6;421
7;ungp;6;420
7;talent development;6;407
7;compliance training;6;400
7;lca;6;399
7;green hydrogen;6;397
7;social standard;6;371
7;ecodesign;6;359
7;pay equity;6;359
7;tax strategy;6;354
7;say on pay;6;351
7;tax compliance;6;340
7;iso\s*50001\b;6;334
7;social enterprise;6;334
7;resource efficiency;6;333
7;social inclusion;6;330
7;proxy advisor;6;325
7;training and development;6;321
7;sapin;6;316
7;minimum wage;6;315
7;sustainalytics;6;315
7;social commitment;6;310
7;reforestation;6;308
7;responsible marketing;6;307
7;green energy;6;300
7;human trafficking;6;299
7;ftse4good;6;298
7;geothermal;6;296
7;wetland;6;293
7;just\s+transition;6;293
7;executive compensation;6;286
7;iso 50001;6;285
7;local community;6;283
7;labor right;6;261
7;social indicator;6;259
7;employee\s+well\w*;6;254
7;community engagement;6;249
7;tonne\w*\s+(?:co2|carbon);6;245
7;female representation;6;245
7;taxonomy alignment;6;245
7;compliance violation;6;244
7;tnfd;6;244
7;social partner;6;240
7;affordability;6;239
7;tax transparency;6;231
7;ifrs\s*s[12]\b;6;231
7;social compliance;6;224
7;volatile organic;6;222
7;heat wave;6;221
7;fair competition;6;219
7;supplier assessment;6;204
7;nature-based solution;6;202
7;reskilling;6;192
7;life cycle assessment;6;188
8;soil health;6;165
8;wind turbine;6;157
8;first aid;6;157
8;wind energy;6;156
8;agroforestry;6;153
8;supply chain due diligence;6;147
8;fair wage;6;146
8;smeta;6;139
8;data breach;6;137
8;fair compensation;6;137
8;msci esg;6;135
8;green investment;6;133
8;microplastic;6;133
8;fatality;6;124
8;decarbonise;6;122
8;recycled raw material;6;122
8;fair labor;6;120
8;labor practices;6;118
8;air pollutant;6;116
8;racism;6;116
8;hydropower;6;115
